id,value
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-apache-logging-log4j-perf-jmh-generated-JpaAppenderBenchmark_jmh,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-runner-InfraControl,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-infra-ThreadParams,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-results-Result,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-infra-BenchmarkParams,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-infra-IterationParams,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-results-ResultRole,100
apache.JpaAppenderBenchmark_testThroughputHSQLDBMessage.org-openjdk-jmh-infra-Blackhole,100
apache.AbstractSocketManager,
apache.AbstractSocketManager.org-apache-logging-log4j-core-appender-OutputStreamManager,100
apache.AbstractSocketManager.org-apache-logging-log4j-core-Layout,100
apache.LogEventMixIn,
apache.LogEventMixIn.org-apache-logging-log4j-core-LogEvent,100
apache.LogEventMixIn.com-fasterxml-jackson-annotation-JsonProperty,100
apache.LogEventMixIn.com-fasterxml-jackson-dataformat-xml-annotation-JacksonXmlProperty,100
apache.LogEventMixIn.com-fasterxml-jackson-databind-annotation-JsonSerialize,100
apache.LogEventMixIn.org-apache-logging-log4j-core-jackson-ListOfMapEntrySerializer,100
apache.LogEventMixIn.com-fasterxml-jackson-databind-annotation-JsonDeserialize,100
apache.LogEventMixIn.org-apache-logging-log4j-core-jackson-ListOfMapEntryDeserializer,100
apache.LogEventMixIn.org-apache-logging-log4j-ThreadContext$ContextStack,100
apache.LogEventMixIn.com-fasterxml-jackson-dataformat-xml-annotation-JacksonXmlElementWrapper,100
apache.LogEventMixIn.org-apache-logging-log4j-Level,100
apache.LogEventMixIn.org-apache-logging-log4j-Marker,100
apache.LogEventMixIn.org-apache-logging-log4j-message-Message,100
apache.LogEventMixIn.org-apache-logging-log4j-core-jackson-MessageSerializer,100
apache.LogEventMixIn.org-apache-logging-log4j-core-jackson-SimpleMessageDeserializer,100
apache.LogEventMixIn.org-apache-logging-log4j-core-jackson-Log4jStackTraceElementDeserializer,100
apache.LogEventMixIn.com-fasterxml-jackson-annotation-JsonIgnore,100
apache.LogEventMixIn.org-apache-logging-log4j-core-impl-ThrowableProxy,100
apache.LogEventMixIn.com-fasterxml-jackson-annotation-JsonRootName,100
apache.LogEventMixIn.com-fasterxml-jackson-dataformat-xml-annotation-JacksonXmlRootElement,100
apache.LogEventMixIn.com-fasterxml-jackson-annotation-JsonFilter,100
apache.LogEventMixIn.com-fasterxml-jackson-annotation-JsonPropertyOrder,100
apache.LogEventMixIn.org-apache-logging-log4j-ThreadContext,100
apache.SystemPropertiesLookup,
apache.SystemPropertiesLookup.org-apache-logging-log4j-core-lookup-AbstractLookup,100
apache.SystemPropertiesLookup.org-apache-logging-log4j-Logger,100
apache.SystemPropertiesLookup.org-apache-logging-log4j-Marker,100
apache.SystemPropertiesLookup.org-apache-logging-log4j-core-LogEvent,100
apache.SystemPropertiesLookup.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.SystemPropertiesLookup.org-apache-logging-log4j-status-StatusLogger,100
apache.SystemPropertiesLookup.org-apache-logging-log4j-MarkerManager,100
apache.TypeConverters$UriConverter,
apache.TypeConverters$UriConverter.org-apache-logging-log4j-core-config-plugins-convert-TypeConverter,100
apache.TypeConverters$UriConverter.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.TypeConverters$UriConverter.org-apache-logging-log4j-core-config-plugins-convert-TypeConverters,100
apache.StatusConfiguration,
apache.StatusConfiguration.org-apache-logging-log4j-status-StatusListener,100
apache.StatusConfiguration.org-apache-logging-log4j-status-StatusConsoleListener,100
apache.StatusConfiguration.org-apache-logging-log4j-core-config-status-StatusConfiguration$Verbosity,100
apache.StatusConfiguration.org-apache-logging-log4j-Level,100
apache.StatusConfiguration.org-apache-logging-log4j-status-StatusLogger,100
apache.StatusConfiguration.org-apache-logging-log4j-core-util-FileUtils,100
apache.BasicContextSelector,
apache.BasicContextSelector.org-apache-logging-log4j-core-LoggerContext,100
apache.BasicContextSelector.org-apache-logging-log4j-core-selector-ContextSelector,100
apache.BasicContextSelector.org-apache-logging-log4j-core-impl-ContextAnchor,100
apache.XmlConfigurationFactory,
apache.XmlConfigurationFactory.org-apache-logging-log4j-core-config-xml-XmlConfiguration,100
apache.XmlConfigurationFactory.org-apache-logging-log4j-core-config-ConfigurationFactory,100
apache.XmlConfigurationFactory.org-apache-logging-log4j-core-config-ConfigurationSource,100
apache.XmlConfigurationFactory.org-apache-logging-log4j-core-config-Configuration,100
apache.XmlConfigurationFactory.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.XmlConfigurationFactory.org-apache-logging-log4j-core-config-Order,100
apache.AsyncAppenderLogbackBenchmark_jmh,
apache.AsyncAppenderLogbackBenchmark_jmh.org-apache-logging-log4j-perf-jmh-generated-AsyncAppenderLogbackBenchmark_jmh_B3,100
apache.Logger,
apache.Logger.org-apache-logging-log4j-Level,100
apache.Logger.org-apache-logging-log4j-Marker,100
apache.Logger.org-apache-logging-log4j-message-Message,100
apache.Logger.org-apache-logging-log4j-message-MessageFactory,100
apache.SmtpManager$FactoryData,
apache.SmtpManager$FactoryData.org-apache-logging-log4j-core-net-SmtpManager,100
apache.BurstFilter,
apache.BurstFilter.org-apache-logging-log4j-core-filter-BurstFilter$LogDelay,100
apache.BurstFilter.org-apache-logging-log4j-core-filter-BurstFilter$Builder,100
apache.BurstFilter.org-apache-logging-log4j-core-filter-AbstractFilter,100
apache.BurstFilter.org-apache-logging-log4j-core-filter-BurstFilter$1,100
apache.BurstFilter.org-apache-logging-log4j-Level,100
apache.BurstFilter.org-apache-logging-log4j-core-Filter$Result,100
apache.BurstFilter.org-apache-logging-log4j-core-Logger,100
apache.BurstFilter.org-apache-logging-log4j-Marker,100
apache.BurstFilter.org-apache-logging-log4j-message-Message,100
apache.BurstFilter.org-apache-logging-log4j-core-LogEvent,100
apache.BurstFilter.org-apache-logging-log4j-core-config-plugins-PluginBuilderFactory,100
apache.BurstFilter.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.BurstFilter.org-apache-logging-log4j-core-Filter,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble,
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-results-RawResults,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-results-ThroughputResult,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-results-AverageTimeResult,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-util-SampleBuffer,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-results-SampleTimeResult,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-results-SingleShotResult,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-infra-generated-Blackhole_jmh,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-apache-logging-log4j-perf-jmh-generated-FormatterLoggerBenchmark_jmh,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-runner-InfraControl,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-infra-ThreadParams,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-results-Result,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-infra-BenchmarkParams,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-infra-IterationParams,100
apache.FormatterLoggerBenchmark_latencyStringFormatDouble.org-openjdk-jmh-results-ResultRole,100
apache.AbstractDatabaseManager$AbstractFactoryData,
apache.AbstractDatabaseManager$AbstractFactoryData.org-apache-logging-log4j-core-appender-db-AbstractDatabaseManager,100
apache.AbstractLogEventWrapperEntity,
apache.AbstractLogEventWrapperEntity.org-apache-logging-log4j-core-appender-db-jpa-AbstractLogEventWrapperEntity$NullLogEvent,100
apache.AbstractLogEventWrapperEntity.org-apache-logging-log4j-core-LogEvent,100
apache.AbstractLogEventWrapperEntity.org-apache-logging-log4j-core-appender-db-jpa-AbstractLogEventWrapperEntity$1,100
apache.AbstractLogEventWrapperEntity.org-apache-logging-log4j-Level,100
apache.AbstractLogEventWrapperEntity.org-apache-logging-log4j-message-Message,100
apache.AbstractLogEventWrapperEntity.org-apache-logging-log4j-Marker,100
apache.AbstractLogEventWrapperEntity.org-apache-logging-log4j-ThreadContext$ContextStack,100
apache.AbstractLogEventWrapperEntity.org-apache-logging-log4j-ThreadContext,100
apache.TypeConverters$CharacterConverter,
apache.TypeConverters$CharacterConverter.org-apache-logging-log4j-core-config-plugins-convert-TypeConverter,100
apache.TypeConverters$CharacterConverter.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.TypeConverters$CharacterConverter.org-apache-logging-log4j-core-config-plugins-convert-TypeConverters,100
apache.ConsoleAppender$CloseShieldOutputStream,
apache.ConsoleAppender$CloseShieldOutputStream.org-apache-logging-log4j-core-appender-ConsoleAppender,100
apache.LevelPatternConverter,
apache.LevelPatternConverter.org-apache-logging-log4j-core-LogEvent,100
