id,value
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*config*plugins*PluginFactory,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*config*plugins*PluginAttribute,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*config*plugins*PluginBuilderFactory,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*util*Constants,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*core*util*Transform,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*message*Message,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*ThreadContext$ContextStack,100
apache.org*apache*logging*log4j*core*layout*HtmlLayout(15).org*apache*logging*log4j*ThreadContext,100
apache.org*apache*logging*log4j*io*IoBuilder,
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*spi*ExtendedLogger,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerBufferedReader,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerReader,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerWriter,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerFilterWriter,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerPrintWriter,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerBufferedInputStream,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerInputStream,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerOutputStream,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerFilterOutputStream,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*io*LoggerPrintStream,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*LoggingException,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*LogManager,100
apache.org*apache*logging*log4j*io*IoBuilder(17).org*apache*logging*log4j*util*ReflectionUtil,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup,
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*core*lookup*AbstractLookup,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*lookup*ResourceBundleLookup(7).org*apache*logging*log4j*MarkerManager,100
apache.org*apache*logging*log4j*spi*Provider,
apache.org*apache*logging*log4j*spi*Provider(4).org*apache*logging*log4j*spi*LoggerContextFactory,100
apache.org*apache*logging*log4j*spi*Provider(4).org*apache*logging*log4j*spi*ThreadContextMap,100
apache.org*apache*logging*log4j*spi*Provider(4).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*spi*Provider(4).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*net*Severity,
apache.org*apache*logging*log4j*core*net*Severity(3).org*apache*logging*log4j*core*net*Severity$1,100
apache.org*apache*logging*log4j*core*net*Severity(3).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*core*net*Severity(3).org*apache*logging*log4j*spi*StandardLevel,100
apache.org*apache*logging*log4j*message*LocalizedMessageFactory,
apache.org*apache*logging*log4j*message*LocalizedMessageFactory(3).org*apache*logging*log4j*message*LocalizedMessage,100
apache.org*apache*logging*log4j*message*LocalizedMessageFactory(3).org*apache*logging*log4j*message*AbstractMessageFactory,100
apache.org*apache*logging*log4j*message*LocalizedMessageFactory(3).org*apache*logging*log4j*message*Message,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker,
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker(3).org*apache*logging*log4j*core*layout*Rfc5424Layout$ListChecker,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker(3).org*apache*logging*log4j*core*layout*Rfc5424Layout,100
apache.org*apache*logging*log4j*core*layout*Rfc5424Layout$IncludeChecker(3).org*apache*logging*log4j*core*layout*Rfc5424Layout$1,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin,
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*core*config*AppenderRef,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*core*config*plugins*PluginFactory,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*core*config*plugins*PluginElement,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*appender*FailoversPlugin(6).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender,
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*appender*AppenderLoggingException,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*appender*AbstractAppender,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*appender*OutputStreamManager,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*Layout,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*Filter,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*io*ByteStreamLogger,
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*io*ByteStreamLogger$ByteBufferInputStream,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*io*ByteStreamLogger$1,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*spi*ExtendedLogger,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*core*Layout,
apache.org*apache*logging*log4j*core*Layout(1).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor,
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*pattern*FormattingInfo,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*pattern*ArrayPatternConverter,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*pattern*DatePatternConverter,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*impl*Log4jLogEvent,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*pattern*PatternParser,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*appender*rolling*RolloverFrequency,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*pattern*PatternConverter,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*lookup*StrSubstitutor,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(12).org*apache*logging*log4j*core*config*Configuration,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage,
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*util*Strings,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*message*ThreadInformation,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*message*ThreadDumpMessage$ThreadDumpMessageProxy,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*message*ThreadDumpMessage$BasicThreadInfoFactory,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*message*ThreadDumpMessage$ExtendedThreadInfoFactory,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*message*Message,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*message*ThreadDumpMessage$1,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*message*ThreadDumpMessage$ThreadInfoFactory,100
apache.org*apache*logging*log4j*message*ThreadDumpMessage(9).org*apache*logging*log4j*util*StringBuilders,100
apache.org*apache*logging*log4j*message*MultiformatMessage,
apache.org*apache*logging*log4j*message*MultiformatMessage(1).org*apache*logging*log4j*message*Message,100
apache.org*apache*logging*log4j*core*pattern*ThrowablePatternConverter,
apache.org*apache*logging*log4j*core*pattern*ThrowablePatternConverter(7).org*apache*logging*log4j*core*impl*ThrowableFormatOptions,100
apache.org*apache*logging*log4j*core*pattern*ThrowablePatternConverter(7).org*apache*logging*log4j*util*Strings,100
apache.org*apache*logging*log4j*core*pattern*ThrowablePatternConverter(7).org*apache*logging*log4j*core*pattern*LogEventPatternConverter,100
apache.org*apache*logging*log4j*core*pattern*ThrowablePatternConverter(7).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*pattern*ThrowablePatternConverter(7).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*pattern*ThrowablePatternConverter(7).org*apache*logging*log4j*core*pattern*ConverterKeys,100
apache.org*apache*logging*log4j*core*pattern*ThrowablePatternConverter(7).org*apache*logging*log4j*core*util*Constants,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer,
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*jackson*StackTraceElementMixIn,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*jackson*MarkerMixIn,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*jackson*LevelMixIn,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*jackson*LogEventMixIn,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*impl*ExtendedStackTraceElement,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*jackson*ExtendedStackTraceElementMixIn,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*impl*ThrowableProxy,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*jackson*ThrowableProxyMixIn,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).com*fasterxml*jackson*databind*Module$SetupContext,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).org*apache*logging*log4j*core*jackson*Initializers,100
apache.org*apache*logging*log4j*core*jackson*Initializers$SetupContextInitializer(14).com*fasterxml*jackson*databind*Module,100
apache.org*apache*logging*log4j*perf*jmh*generated*SimpleBenchmark_jmh_B2,
apache.org*apache*logging*log4j*perf*jmh*generated*SimpleBenchmark_jmh_B2(1).org*apache*logging*log4j*perf*jmh*generated*SimpleBenchmark_jmh_B1,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage,
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*results*RawResults,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*results*ThroughputResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*results*AverageTimeResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*util*SampleBuffer,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*results*SampleTimeResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*results*SingleShotResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*infra*generated*Blackhole_jmh,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_jmh,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*runner*InfraControl,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*infra*ThreadParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*results*Result,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*infra*BenchmarkParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*infra*IterationParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*results*ResultRole,100
apache.org*apache*logging*log4j*perf*jmh*generated*JpaAppenderBenchmark_testThroughputHSQLDBMessage(15).org*openjdk*jmh*infra*Blackhole,100
apache.org*apache*logging*log4j*core*net*AbstractSocketManager,
apache.org*apache*logging*log4j*core*net*AbstractSocketManager(2).org*apache*logging*log4j*core*appender*OutputStreamManager,100
apache.org*apache*logging*log4j*core*net*AbstractSocketManager(2).org*apache*logging*log4j*core*Layout,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn,
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*annotation*JsonProperty,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*dataformat*xml*annotation*JacksonXmlProperty,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*databind*annotation*JsonSerialize,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*core*jackson*ListOfMapEntrySerializer,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*databind*annotation*JsonDeserialize,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*core*jackson*ListOfMapEntryDeserializer,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*ThreadContext$ContextStack,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*dataformat*xml*annotation*JacksonXmlElementWrapper,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*message*Message,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*core*jackson*MessageSerializer,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*core*jackson*SimpleMessageDeserializer,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*core*jackson*Log4jStackTraceElementDeserializer,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*annotation*JsonIgnore,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*core*impl*ThrowableProxy,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*annotation*JsonRootName,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*dataformat*xml*annotation*JacksonXmlRootElement,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*annotation*JsonFilter,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).com*fasterxml*jackson*annotation*JsonPropertyOrder,100
apache.org*apache*logging*log4j*core*jackson*LogEventMixIn(22).org*apache*logging*log4j*ThreadContext,100
apache.org*apache*logging*log4j*core*lookup*SystemPropertiesLookup,
apache.org*apache*logging*log4j*core*lookup*SystemPropertiesLookup(7).org*apache*logging*log4j*core*lookup*AbstractLookup,100
apache.org*apache*logging*log4j*core*lookup*SystemPropertiesLookup(7).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*core*lookup*SystemPropertiesLookup(7).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*core*lookup*SystemPropertiesLookup(7).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*lookup*SystemPropertiesLookup(7).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*lookup*SystemPropertiesLookup(7).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*lookup*SystemPropertiesLookup(7).org*apache*logging*log4j*MarkerManager,100
apache.org*apache*logging*log4j*core*config*plugins*convert*TypeConverters$UriConverter,
apache.org*apache*logging*log4j*core*config*plugins*convert*TypeConverters$UriConverter(3).org*apache*logging*log4j*core*config*plugins*convert*TypeConverter,100
apache.org*apache*logging*log4j*core*config*plugins*convert*TypeConverters$UriConverter(3).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*config*plugins*convert*TypeConverters$UriConverter(3).org*apache*logging*log4j*core*config*plugins*convert*TypeConverters,100
apache.org*apache*logging*log4j*core*config*status*StatusConfiguration,
apache.org*apache*logging*log4j*core*config*status*StatusConfiguration(6).org*apache*logging*log4j*status*StatusListener,100
apache.org*apache*logging*log4j*core*config*status*StatusConfiguration(6).org*apache*logging*log4j*status*StatusConsoleListener,100
apache.org*apache*logging*log4j*core*config*status*StatusConfiguration(6).org*apache*logging*log4j*core*config*status*StatusConfiguration$Verbosity,100
apache.org*apache*logging*log4j*core*config*status*StatusConfiguration(6).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*core*config*status*StatusConfiguration(6).org*apache*logging*log4j*status*StatusLogger,100
apache.org*apache*logging*log4j*core*config*status*StatusConfiguration(6).org*apache*logging*log4j*core*util*FileUtils,100
apache.org*apache*logging*log4j*core*selector*BasicContextSelector,
apache.org*apache*logging*log4j*core*selector*BasicContextSelector(3).org*apache*logging*log4j*core*LoggerContext,100
apache.org*apache*logging*log4j*core*selector*BasicContextSelector(3).org*apache*logging*log4j*core*selector*ContextSelector,100
apache.org*apache*logging*log4j*core*selector*BasicContextSelector(3).org*apache*logging*log4j*core*impl*ContextAnchor,100
apache.org*apache*logging*log4j*core*config*xml*XmlConfigurationFactory,
apache.org*apache*logging*log4j*core*config*xml*XmlConfigurationFactory(6).org*apache*logging*log4j*core*config*xml*XmlConfiguration,100
apache.org*apache*logging*log4j*core*config*xml*XmlConfigurationFactory(6).org*apache*logging*log4j*core*config*ConfigurationFactory,100
apache.org*apache*logging*log4j*core*config*xml*XmlConfigurationFactory(6).org*apache*logging*log4j*core*config*ConfigurationSource,100
apache.org*apache*logging*log4j*core*config*xml*XmlConfigurationFactory(6).org*apache*logging*log4j*core*config*Configuration,100
apache.org*apache*logging*log4j*core*config*xml*XmlConfigurationFactory(6).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*config*xml*XmlConfigurationFactory(6).org*apache*logging*log4j*core*config*Order,100
apache.org*apache*logging*log4j*perf*jmh*generated*AsyncAppenderLogbackBenchmark_jmh,
apache.org*apache*logging*log4j*perf*jmh*generated*AsyncAppenderLogbackBenchmark_jmh(1).org*apache*logging*log4j*perf*jmh*generated*AsyncAppenderLogbackBenchmark_jmh_B3,100
apache.org*apache*logging*log4j*Logger,
apache.org*apache*logging*log4j*Logger(4).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*Logger(4).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*Logger(4).org*apache*logging*log4j*message*Message,100
apache.org*apache*logging*log4j*Logger(4).org*apache*logging*log4j*message*MessageFactory,100
apache.org*apache*logging*log4j*core*net*SmtpManager$FactoryData,
apache.org*apache*logging*log4j*core*net*SmtpManager$FactoryData(1).org*apache*logging*log4j*core*net*SmtpManager,100
apache.org*apache*logging*log4j*core*filter*BurstFilter,
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*filter*BurstFilter$LogDelay,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*filter*BurstFilter$Builder,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*filter*AbstractFilter,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*filter*BurstFilter$1,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*Filter$Result,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*Logger,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*message*Message,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*config*plugins*PluginBuilderFactory,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*filter*BurstFilter(13).org*apache*logging*log4j*core*Filter,100
apache.org*apache*logging*log4j*perf*jmh*generated*FormatterLoggerBenchmark_latencyStringFormatDouble,
apache.org*apache*logging*log4j*perf*jmh*generated*FormatterLoggerBenchmark_latencyStringFormatDouble(14).org*openjdk*jmh*results*RawResults,100
apache.org*apache*logging*log4j*perf*jmh*generated*FormatterLoggerBenchmark_latencyStringFormatDouble(14).org*openjdk*jmh*results*ThroughputResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*FormatterLoggerBenchmark_latencyStringFormatDouble(14).org*openjdk*jmh*results*AverageTimeResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*FormatterLoggerBenchmark_latencyStringFormatDouble(14).org*openjdk*jmh*util*SampleBuffer,100
apache.org*apache*logging*log4j*perf*jmh*generated*FormatterLoggerBenchmark_latencyStringFormatDouble(14).org*openjdk*jmh*results*SampleTimeResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*FormatterLoggerBenchmark_latencyStringFormatDouble(14).org*openjdk*jmh*results*SingleShotResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*FormatterLoggerBenchmark_latencyStringFormatDouble(14).org*openjdk*jmh*infra*generated*Blackhole_jmh,100
