id,value
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*appender*OutputStreamManager,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*Layout,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*Filter,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*appender*AbstractOutputStreamAppender(7).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14),
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*results*RawResults,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*results*ThroughputResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*results*AverageTimeResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*util*SampleBuffer,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*results*SampleTimeResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*results*SingleShotResult,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*infra*generated*Blackhole_jmh,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_jmh,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*runner*InfraControl,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*infra*ThreadParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*results*Result,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*infra*BenchmarkParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*infra*IterationParams,100
apache.org*apache*logging*log4j*perf*jmh*generated*PatternLayoutComparisonBenchmark_log4j2(14).org*openjdk*jmh*results*ResultRole,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5),
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*io*ByteStreamLogger$ByteBufferInputStream,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*io*ByteStreamLogger$1,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*spi*ExtendedLogger,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*Level,100
apache.org*apache*logging*log4j*io*ByteStreamLogger(5).org*apache*logging*log4j*Marker,100
apache.org*apache*logging*log4j*core*Layout(1),
apache.org*apache*logging*log4j*core*Layout(1).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(13),
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(13).org*apache*logging*log4j*core*pattern*FormattingInfo,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(13).org*apache*logging*log4j*core*pattern*ArrayPatternConverter,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(13).org*apache*logging*log4j*core*pattern*DatePatternConverter,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(13).org*apache*logging*log4j*core*impl*Log4jLogEvent$Builder,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(13).org*apache*logging*log4j*core*pattern*PatternParser,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(13).org*apache*logging*log4j*Logger,100
apache.org*apache*logging*log4j*core*appender*rolling*PatternProcessor(13).org*apache*logging*log4j*core*appender*rolling*RolloverFrequency,100
